Answer,Person,Specific Type,General Type
europa_(mythology),0,,
pontiac_(person),1,Tribal chief,
united_nations_general_assembly,0,,
concordat_of_worms,0,,
manichaeism,0,,
grignard_reaction,0,,
electron_capture,0,,
our_town,0,,
magic_(paranormal),0,,
vancouver,0,,
elephant,0,,
erasmus_darwin,1,Botanist,
edinburgh,0,,
stephen_vincent_benet,0,,
echidna,0,,
conchobar_mac_nessa,1,Man,
george_caleb_bingham,1,Painting Artist,
critical_point_(thermodynamics),0,,
leviathan_(book),0,,
santa_fe_trail,0,,
ezra_pound,1,Poet,
gotthold_ephraim_lessing,1,Philosopher,
hesiod,1,Author,"book,author"
han_dynasty,0,,
pernicious_anemia,0,,
book_of_lamentations,0,,
harold_pinter,1,Dramatist,
gross_domestic_product,0,,
robert_brown_(botanist),1,Botanist,
ernest_hemingway,1,Novelist,
limbo,0,,
chromatin,0,,
aldehyde,0,,
moment_of_inertia,0,,
cyrus_the_great,1,Monarch,"royalty,monarch"
avogadro_constant,0,,
the_rite_of_spring,0,,
word_of_faith,0,,
coagulation,0,,
freyr,0,,
john_vanbrugh,1,Dramatist,
torsion_spring,0,,
hydrogen_peroxide,0,,
nemean_lion,0,,
honduras,0,,
scythians,0,,
bernadette_soubirous,1,Deceased Person,"people,deceased person"
venus_de_milo,0,,
john_ruskin,1,Author,"book,author"
sawm_of_ramadan,0,,
nominalism,0,,
primavera_(painting),0,,
lagrangian,0,,
symbolic_interactionism,0,,
bragi,0,,
gunnar_myrdal,1,Economist,
induced_stem_cells,0,,
o_captain!_my_captain!,0,,
presbyterianism,0,,
jean_renoir,1,Film director,"film,director"
bertrand_russell's_views_on_philosophy,0,,
samuel_p._huntington,1,Professor,
dirac_equation,0,,
dialectic_of_enlightenment,0,,
battle_of_shiloh,0,,
emotion,0,,
the_mighty_ducks_(film_series),0,,
washington_crossing_the_delaware,0,,
maillard_reaction,0,,
liminality,0,,
the_golden_bough,0,,
uriel,1,Person Or Being In Fiction,"fictional universe,person in fiction"
the_three-cornered_hat,0,,
quantum_mechanics,0,,
lens_(optics),0,,
richard_neutra,1,Architect,"architecture,architect"
orpheus_in_the_underworld,0,,
ozymandias,1,Musical Artist,"music,artist"
condensation_reaction,0,,
battle_of_bunker_hill,0,,
giovanni_pico_della_mirandola,1,Philosopher,
thetis,0,,
meteora,0,,
self-portrait_with_palette_(manet),0,,
samuel_johnson,1,Author,"book,author"
maya_lin,1,Sculpture Artist,
jansenism,0,,
carson_mccullers,1,Dramatist,
burundi,0,,
emer,0,,
gravity's_rainbow,0,,
leonid_brezhnev,1,Politician,"government,politician"
macular_degeneration,0,,
wynton_marsalis,1,Bandleader,
long_march,0,,
algarve,1,Musical Artist,"music,artist"
leptis_magna,0,,
ferruccio_busoni,1,Composer,"music,composer"
syllable,0,,
sean_o'casey,0,,
addis_ababa,0,,
andrew_marvell,1,Poet,
solvay_process,0,,
george_armstrong_custer,1,Military Commander,"military,military commander"
romulus_and_remus,0,,
knee,0,,
tyrosine,0,,
thalidomide,0,,
gateway_arch,0,,
maoism,0,,
edward_albee,1,Dramatist,
the_bald_soprano,0,,
vancouver_island,0,,
shiva,1,Actor,
friction,1,Drum and bass Artist,
magnetic_moment,0,,
knights_of_labor,0,,
pagliacci,0,,
solar_eclipse,0,,
merlin,0,,
actin,0,,
patroclus,0,,
delaware_river,0,,
nova_scotia,0,,
wallace_line,0,,
mikhail_bakunin,1,Philosopher,
las_meninas,0,,
benjamin_harrison,1,US President,"government,us president"
krishna,1,Actor,
saliva,0,,
cochlea,0,,
permeability_(electromagnetism),0,,
joseph_schumpeter,1,Economist,
carmelites,0,,
perun,0,,
gout,0,,
silurian,0,,
franz_rosenzweig,1,Philosopher,
free_soil_party,0,,
oscar_niemeyer,1,Architect,"architecture,architect"
steve_reich,1,Minimalist Artist,
dysentery,0,,
von_neumann_architecture,0,,
zoroastrianism,0,,
hymenoptera,0,,
acetic_acid,0,,
elijah,1,Prophet,
ontological_argument,0,,
leo_(constellation),0,,
kary_mullis,1,Chemist,
marcus_theory,0,,
rhodes,0,,
principia_mathematica,0,,
apis_(god),0,,
clear_and_present_danger,0,,
albigensian_crusade,0,,
on_crimes_and_punishments,0,,
book_of_mormon,0,,
kurt_weill,1,Composer,"music,composer"
hugo_wolf,1,Composer,"music,composer"
pesaro_madonna,0,,
giuseppe_arcimboldo,1,Painting Artist,
heliosphere,0,,
damping,0,,
essays_(montaigne),0,,
black_hole_of_calcutta,0,,
mekong,0,,
photon,0,,
gustav_kirchhoff,1,Physicist,
portrait_of_madame_x,0,,
coming_of_age_in_samoa,0,,
cardiac_muscle,0,,
lattice_energy,0,,
monarch_butterfly,0,,
rigveda,0,,
sonoluminescence,0,,
paul_broca,1,Academic,"education,academic"
mensheviks,0,,
the_chrysanthemum_and_the_sword,0,,
day_of_ashura,0,,
snowball_earth,0,,
bronze_age,0,,
de_stijl,0,,
book_of_jonah,0,,
laurence_sterne,1,Novelist,
hsab_theory,0,,
sigurd,0,,
battle_of_the_thames,0,,
spanish_civil_war,0,,
south_australia,0,,
yangon,0,,
sibylline_books,0,,
messenger_rna,0,,
wainwright_building,0,,
geneva_bible,0,,
heathcliff_(wuthering_heights),0,,
kalevala_(synopses),0,,
henry_louis_gates,1,Historian,
wandering_jew,0,,
virgin_of_the_rocks,0,,
guernsey,0,,
martin_luther_(1953_film),0,,
cologne_cathedral,0,,
eugenio_montale,1,Poet,
muon,0,,
hanseatic_league,0,,
drake_equation,0,,
hades,0,,
gulf_of_fonseca,0,,
frederic_edwin_church,1,Painting Artist,
substance_p,0,,
sagittarius_(constellation),0,,
kerala,0,,
ostend_manifesto,0,,
haskell_(programming_language),0,,
tamburlaine_(play),0,,
theaetetus_(dialogue),0,,
"william_j._brennan,_jr.",1,Politician,"government,politician"
iphigenia,0,,
vinson_massif,0,,
alkali_metal,0,,
edward_sapir,1,Anthropologist,
electron_affinity,0,,
coriolis_effect,0,,
tsunami,0,,
paul_von_hindenburg,1,Politician,"government,politician"
martin_heidegger,1,Philosopher,
zachary_taylor,1,US President,"government,us president"
cat_stevens,0,,
birch_reduction,0,,
c-reactive_protein,0,,
tobago,0,,
tuba,0,,
dresden,0,,
pellagra,0,,
robert_nozick,1,Philosopher,
clavicle,0,,
cabinda_province,0,,
the_dinner_party,0,,
newton's_laws_of_motion,0,,
fructose,0,,
brazil_(1985_film),0,,
proton_decay,0,,
pyrimidine,0,,
seafloor_spreading,0,,
henry_fielding,1,Novelist,
peter_abelard,0,,
geography_of_tajikistan,0,,
geography_of_kazakhstan,0,,
gadsden_purchase,0,,
aida,0,,
bernard_of_clairvaux,1,Physician,
a_child_of_our_time,0,,
paul_feyerabend,1,Philosopher,
elizabeth_cady_stanton,1,Author,"book,author"
endosymbiont,0,,
restriction_fragment_length_polymorphism,0,,
vanir,0,,
william_graham_sumner,1,Historian,
monopoly,0,,
lake_van,0,,
hieronymus_bosch,1,Painting Artist,
rust,0,,
coupling_reaction,0,,
wendigo,0,,
astatine,0,,
guru_granth_sahib,1,Religious Leader,"religion,religious leader"
aqua_regia,1,Musical Artist,"music,artist"
elisha,1,Prophet,
monoamine_oxidase,0,,
yoga,0,,
phenol,0,,
miriam,1,Prophet,
uterus,0,,
nitrous_oxide,1,Trance Artist,
provence,0,,
fifth_force,0,,
georg_philipp_telemann,1,Composer,"music,composer"
kilogram,0,,
daniel_webster,1,Statesman,
mass,0,,
adam,1,Person Or Being In Fiction,"fictional universe,person in fiction"
judith_leyster,1,Painting Artist,
influenza,0,,
imagined_communities,0,,
amish,0,,
andhra_pradesh,0,,
ricardian_equivalence,0,,
ahura_mazda,1,Musical Artist,"music,artist"
time_dilation,0,,
mandala,0,,
samuel_beckett,1,Novelist,
fanfare_for_the_common_man,0,,
ornette_coleman,1,Free jazz Artist,
salicylic_acid,0,,
centromere,0,,
ghana,0,,
pieter_bruegel_the_elder,1,Painting Artist,
lynn_margulis,1,Biologist,
claude_debussy,1,Composer,"music,composer"
white_nile,0,,
machine_learning,0,,
calcite,0,,
omar_bongo,1,Politician,"government,politician"
compton_scattering,0,,
romare_bearden,1,Painting Artist,
carnivorous_plant,0,,
infrared_spectroscopy,0,,
thirty_years'_war,0,,
orinoco,0,,
poliomyelitis,0,,
jeremy_bentham,1,Philosopher,
midnight's_children,0,,
equal_rights_amendment,0,,
spin_(physics),0,,
la_traviata,0,,
pidgin,0,,
saul_bellow,1,Novelist,
doric_order,0,,
big_dipper,0,,
prion,0,,
geography_of_bosnia_and_herzegovina,0,,
skepticism,0,,
james_abbott_mcneill_whistler,1,Painting Artist,
dna_methylation,0,,
cadmus,1,Military Commander,"military,military commander"
aeschylus,1,Dramatist,
lyman_series,0,,
new_brunswick,0,,
john_searle,1,Philosopher,
bay_of_bengal,0,,
the_bartered_bride,0,,
oligopoly,0,,
culhwch_and_olwen,0,,
palladium_(classical_antiquity),0,,
hathor,0,,
rene_descartes,0,,
lady_of_the_lake,0,,
clarence_darrow,1,Politician,
oxytocin,0,,
lake_erie,0,,
krill,0,,
hermes_and_the_infant_dionysus,0,,
giant_steps_(composition),0,,
"bartleby,_the_scrivener",0,,
malt,0,,
the_queen_of_spades_(opera),0,,
urizen,0,,
nazca_lines,0,,
richard_avedon,1,Photographer,
aldous_huxley,1,Novelist,
the_consolation_of_philosophy,0,,
andromeda_(constellation),0,,
stonehenge,0,,
lesotho,0,,
chicago_school_(sociology),0,,
panama_canal,0,,
walter_scott,1,Novelist,
solomon_asch,1,Psychologist,
asexual_reproduction,0,,
michel_foucault,1,Philosopher,
seoul,0,,
leo_tolstoy,1,Novelist,
marfan_syndrome,0,,
chirality_(chemistry),0,,
ethics,0,,
eleusinian_mysteries,0,,
isenheim_altarpiece,0,,
tiresias,0,,
baker_v._carr,0,,
great_zimbabwe,0,,
richard_cory,0,,
the_raft_of_the_medusa,0,,
botulism,0,,
symphony_no._2_(mahler),0,,
isaac,0,,
transfiguration_of_jesus,0,,
salamander,1,Composer,"music,composer"
pegasus,0,,
phaedrus_(dialogue),0,,
odin,0,,
balmer_series,0,,
ulster_cycle,0,,
the_dream_of_gerontius,0,,
osiris,0,,
wilfrid_sellars,1,Philosopher,
genoa,0,,
snake_river,0,,
azerbaijan_(iran),0,,
charon_(mythology),0,,
octet_rule,0,,
rashi,1,Rabbi,
tahiti,0,,
supercritical_fluid,0,,
penicillin,0,,
raja_raja_chola_i,1,Monarch,"royalty,monarch"
coase_theorem,0,,
dorothea_lange,1,Photographer,
the_rivals,0,,
chlamydia_(genus),0,,
asgard,1,Musical Artist,"music,artist"
sandro_botticelli,1,Organization leader,"business,board member"
jeremiah,1,Prophet,
booker_t._washington,1,Educator,
medea,0,,
new_jersey,0,,
fine-structure_constant,0,,
hund's_rules,0,,
pandava,0,,
albatross,0,,
adriatic_sea,0,,
bilbao,0,,
karl_mannheim,1,Sociologist,
brook_farm,0,,
umayyad_caliphate,0,,
nat_turner,1,Author,"book,author"
eugene_ionesco,0,,
holden_caulfield,0,,
"anarchy,_state,_and_utopia",0,,
philosophical_skepticism,0,,
raman_scattering,0,,
fasting,0,,
zeus,0,,
centripetal_force,0,,
diffusion,1,Musical Artist,"music,artist"
almagest,0,,
lac_operon,0,,
nelson_mandela,1,Statesman,
tertullian,1,Author,"book,author"
tissue_(biology),0,,
antarctica,0,,
luzon,0,,
alexander_glazunov,1,Composer,"music,composer"
jared_diamond,1,Professor,
ozonolysis,0,,
willem_de_kooning,1,Painting Artist,
justinian_i,1,Monarch,"royalty,monarch"
johann_gottlieb_fichte,1,Philosopher,
virus,1,Hard rock Artist,
the_temple_of_the_golden_pavilion,0,,
nirvana,0,,
massacre_of_the_innocents,0,,
lester_b._pearson,1,Politician,"government,politician"
harbin,0,,
aramaic_language,0,,
column_chromatography,0,,
sierra_nevada_(u.s.),0,,
ascanius,0,,
nullification_(u.s._constitution),0,,
evapotranspiration,0,,
un_ballo_in_maschera,0,,
barkhausen_effect,0,,
bay_of_pigs_invasion,0,,
maya_hero_twins,0,,
isambard_kingdom_brunel,1,Civil engineer,
oscar_wilde,1,Dramatist,
ergot,0,,
srivijaya,0,,
allosteric_regulation,0,,
thoth,1,Musical Artist,"music,artist"
finlandia_hymn,0,,
croatia,0,,
peleus,0,,
simon_magus,1,Founding Figure,"religion,founding figure"
compressibility,0,,
arcturus,0,,
van_de_graaff_generator,0,,
ganesha,0,,
george_stigler,1,Economist,
jean-paul_sartre,1,Philosopher,
ravana,0,,
availability_heuristic,0,,
al_franken,1,U.S. Congressperson,"government,u s congressperson"
dipole,0,,
the_rime_of_the_ancient_mariner,0,,
w._b._yeats,1,Poet,
gaia_hypothesis,0,,
abstract_expressionism,0,,
alasdair_macintyre,1,Philosopher,
rutherford_b._hayes,1,US President,"government,us president"
adrenal_gland_disorder,0,,
thor,0,,
animal_farm,0,,
turandot_(busoni),0,,
mardi_gras,0,,
objectivism_(ayn_rand),0,,
manzanar,0,,
max_schmitt_in_a_single_scull,0,,
leto,0,,
county_cork,0,,
gravitational_constant,0,,
fritz_haber,1,Chemist,
mercantilism,0,,
lucia_di_lammermoor,0,,
uther_pendragon,0,,
the_well-tempered_clavier,0,,
hardness,0,,
isostasy,0,,
havelock_ellis,1,Writer,
the_love_song_of_j._alfred_prufrock,0,,
alpha_centauri,0,,
blue_ridge_mountains,0,,
muqaddimah,0,,
"anthony_giddens,_baron_giddens",0,,
thomas_cole,1,Painting Artist,
virgil_thomson,1,Composer,"music,composer"
philip_zimbardo,1,Psychologist,
finnegans_wake,0,,
greenland,0,,
cerebrum,0,,
carlos_fuentes,1,Novelist,
metaphysics_(aristotle),0,,
omnipotence,0,,
lincoln_cathedral,0,,
aleppo,0,,
insulin,0,,
mesocyclone,0,,
george_wallace,1,Politician,"government,politician"
allen_ginsberg,1,Spoken word Artist,
groupthink,0,,
michaelis-menten_kinetics,0,,
annunciation,0,,
cat_on_a_hot_tin_roof,0,,
microcredit,0,,
book_of_joshua,0,,
kabuki,0,,
nature_(essay),0,,
rosetta_stone,0,,
small-world_experiment,0,,
zygmunt_bauman,1,Author,"book,author"
gustave_flaubert,1,Novelist,
optic_nerve,0,,
camille_pissarro,1,Painting Artist,
falcon,0,,
carlo_gesualdo,0,,
gorgias_(dialogue),0,,
mulholland_drive_(film),0,,
ivan_turgenev,1,Novelist,
kalevala,0,,
retrovirus,0,,
hermaphroditus,0,,
deccan_plateau,0,,
mackinac_island,0,,
chordate,0,,
bucharest,0,,
ariel_(the_tempest),0,,
black_panther_party,0,,
grammatology,0,,
hess's_law,0,,
arthur_eddington,1,Academic,"education,academic"
autophagy,0,,
serengeti,1,Underground hip hop Artist,
francis_ysidro_edgeworth,1,Economist,
charles_darwin,1,Academic,"education,academic"
guernica_(painting),0,,
actinide,0,,
critical_period,0,,
requiem,0,,
the_rules_of_the_game,0,,
modest_mussorgsky,0,,
scott_joplin,1,Ragtime Artist,
chartres_cathedral,0,,
rio_de_janeiro_(state),0,,
nosebleed,0,,
melbourne,0,,
melville_j._herskovits,1,Anthropologist,
"camillo_benso,_count_of_cavour",1,Politician,"government,politician"
tobacco_mosaic_virus,0,,
salome_(opera),1,Deceased Person,"people,deceased person"
charge-coupled_device,0,,
outer_banks,0,,
colorado,0,,
amphitryon,0,,
inti,0,,
john_dewey,1,Philosopher,
henry_ii_of_france,1,Monarch,"royalty,monarch"
great_salt_lake,0,,
parvati,0,,
william_howard_taft,1,US President,"government,us president"
ptolemy,1,Mathematician,
jonathan_edwards_(theologian),1,Preacher,
peer_gynt,0,,
prostate_cancer,0,,
waggle_dance,0,,
charles_fourier,1,Philosopher,
the_ghosts_of_versailles,0,,
aegean_sea,0,,
retina,0,,
pair_production,0,,
the_last_temptation_of_christ_(film),0,,
benvenuto_cellini,1,Painting Artist,
ur,0,,
positivism,0,,
nuclear_force,0,,
uranium,0,,
elements_of_the_philosophy_of_right,0,,
scapegoat,0,,
johannes_vermeer,1,Painting Artist,
rabies,0,,
canonization,0,,
elektra_(opera),0,,
utilitarianism,0,,
the_market_for_lemons,0,,
channeled_scablands,0,,
daniel_deronda,0,,
david_garrick,1,Dramatist,
population_inversion,0,,
a_clockwork_orange,0,,
mircea_eliade,1,Philosopher,
kennewick_man,0,,
diffraction,0,,
john_c._calhoun,1,U.S. Congressperson,"government,u s congressperson"
friedmann_equations,0,,
carl_maria_von_weber,1,Composer,"music,composer"
armadillo,0,,
lake_malawi,0,,
muscular_dystrophy,0,,
theotokos,0,,
the_age_of_innocence,0,,
totem,0,,
cobalt,1,Musical Artist,"music,artist"
amaterasu,0,,
ypres,0,,
anomalous_monism,0,,
students_for_a_democratic_society,0,,
thomas_eakins,1,Painting Artist,
umbriel_(moon),0,,
x-ray_crystallography,0,,
thunderbird_(cryptozoology),0,,
whooping_crane,0,,
henry_moseley,1,Physicist,
portuguese_language,0,,
mistletoe,0,,
the_mystery_of_edwin_drood,0,,
isaiah,1,Prophet,
eastern_orthodox_church,0,,
archaeopteryx,0,,
credit_mobilier_of_america_scandal,0,,
laminar_flow,0,,
