Answer,Person,Description,type
aegis,1,"Yumiko Kobayashi is a Japanese voice actress. She is a freelance voice actor, but until August 2007 was affiliated with Arts Vision.
She and fellow Excel Saga voice actress Mikako Takahashi are known as the duo ""The Excel Girls"". She is also part of the voice actress quartet ""Prits"" along with Natsuko Kuwatani, Nana Mizuki, and Hisayo Mochizuki; all four voiced characters in Sister Princess.",
inca_empire,1,"Charles V was ruler of the Holy Roman Empire from 1519 and, as Charles I, of the Spanish Empire from 1516 until his voluntary abdication in favor of his younger brother Ferdinand I as Holy Roman Emperor and his son Philip II as King of Spain in 1556.
As the ruler of many greater and lesser European states, Charles had a very complicated coat of arms. He was the heir of three of Europe's leading dynasties, the House of Habsburg of the Habsburg Monarchy, the House of Valois-Burgundy of the Burgundian Netherlands, and the House of Trastámara of the Crowns of Castile and Aragon. He ruled over extensive domains in Central, Western, and Southern Europe, and the Spanish colonies in the Americas and Asia. As Charles was the first king to rule Castile, León, and Aragon simultaneously in his own right, he became the first King of Spain. In 1519, Charles became Holy Roman Emperor and Archduke of Austria. From that point forward, his empire spanned nearly four million square kilometers across Europe, the Far East, and the Americas.",
inca_empire,1,"Ninan Cuyochi the oldest son of Sapa Inca Huayna Capac and first in line to inherit the Inca Empire, however he died of smallpox shortly before his father, bringing about a civil war.",
inca_empire,1,"Topa Inca Yupanqui or Túpac Inca Yupanqui, translated as ""noble Inca accountant,"" was the tenth Sapa Inca of the Inca Empire, and fifth of the Hanan dynasty. His father was Pachacuti, and his son was Huayna Capac. Topa Inca belonged to the Qhapaq panaca.",
cyprus,1,"Prince Antonio Focas Flavio Angelo Ducas Comneno De Curtis di Bisanzio Gagliardi, best known by his stage name Totò or as Antonio De Curtis, and nicknamed il principe della risata, was an Italian comedian, film and theatre actor, writer, singer and songwriter. He is widely considered one of the greatest Italian artists of the 20th century. While he first gained his popularity as a comic actor, his dramatic roles, his poetry, and his songs are all deemed to be outstanding; his style and a number of his recurring jokes and gestures have become universally known memes in Italy. Writer and philosopher Umberto Eco has thus commented on the importance of Totò in Italian culture:
In this globalized universe where it seems that everybody's watching the same movies and eating the same food, there are still abysmal and overwhelming fractures separating one culture from another. How can two peoples [i.e. the Chinese and the Italian], one of which unknowing of Totò, truly understand each other?
Mario Monicelli, who directed some of the most appreciated of Totò's movies, thus described his artistic value:
With Totò, we got it all wrong. He was a genius, not just a grandiose actor.",
cyprus,1,"Richard I was King of England from 6 July 1189 until his death. He also ruled as Duke of Normandy, Duke of Aquitaine, Duke of Gascony, Lord of Cyprus, Count of Poitiers, Count of Anjou, Count of Maine, Count of Nantes, and Overlord of Brittany at various times during the same period. He was the third of five sons of King Henry II of England and Eleanor of Aquitaine. He was known as Richard Cœur de Lion or Richard the Lionheart because of his reputation as a great military leader and warrior. The Muslims called him Melek-Ric or Malek al-Inkitar. He was also known in Occitan as Oc e No, because of his reputation for terseness.
By the age of 16, Richard had taken command of his own army, putting down rebellions in Poitou against his father. Richard was a central Christian commander during the Third Crusade, leading the campaign after the departure of Philip II of France and scoring considerable victories against his Muslim counterpart, Saladin, although he did not reconquer Jerusalem from Saladin.
Richard spoke langue d'oïl, a French dialect, and Occitan, a Romance language spoken in southern France and nearby regions.",
cyprus,1,"Janus of Cyprus was a King of Cyprus, King of Armenia and a Titular King of Jerusalem from 1398 to 1432.",
lawrence_livermore_national_laboratory,1,"Mildred Dresselhaus, known as the ""queen of carbon science"", is an institute professor and professor of physics and electrical engineering at the Massachusetts Institute of Technology.",
lawrence_livermore_national_laboratory,1,"Lowell Lincoln Wood, Jr. is an American astrophysicist who has been involved with the Strategic Defense Initiative and with geoengineering studies. He has been affiliated with Lawrence Livermore National Laboratory and the Hoover Institution, and chaired the EMP Commission. Wood is a prolific inventor listed on 710 U.S. patents as of Jan. 13, 2014.
Lowell earned a PhD in geophysics from the University of California at Los Angeles in 1965 for thesis titled Hyperthermal Processes in the Solar Atmosphere.",
lawrence_livermore_national_laboratory,1,Dr. C. Bruce Tarter was director of the Lawrence Livermore National Laboratory from 1994 to 2002. He received his bachelor's degree in physics from the Massachusetts Institute of Technology and a Ph.D. from Cornell University.,
norovirus,1,"Katsura Hoshino is a Japanese manga writer and artist from Shiga Prefecture. She made her debut in July 2003 with the publication of her first manga series Continue and is known for her work, D.Gray-man, which began serialization in Shueisha's Weekly Shōnen Jump in May 2004. She most recently designed characters for the 2013 Sunrise anime, Valvrave the Liberator, making it her first original work on an anime.
The D.Gray-man manga series has been adapted into various forms, including an anime series and two novel adaptations. Three volumes placed in the top fifty of Japan's bestselling manga of 2008 and the series is one of Weekly Shōnen Jump '​s bestselling manga series. It has gained attention in North America; both the manga and anime adaptions are licensed for English language releases. The manga series has been well received in France; it was awarded the prize for Best Manga Series 2006 at the Anime and Manga 2007 French Grand Prix organized by Animeland. It also won Webotaku's prize for Manga of the Year 2006.",
norovirus,1,"Robert David ""Robbie"" Keane is an Irish professional footballer who plays as a striker and is captain of both Los Angeles Galaxy and the Republic of Ireland national football team.
Keane has scored a total of 65 goals for the Irish national team between 25 March 1998 and 11 October 2014, making him the all-time record Irish scorer. He is currently the highest international scorer among active players following Miroslav Klose's retirement in August 2014. He is the fifth highest scoring European in history, behind Hungary's Puskás and Kocsis and Germany's Gerd Müller and Klose. Keane was Ireland's top scorer at the 2002 FIFA World Cup with three goals as they reached the Last 16, and also played at UEFA Euro 2012.
Keane began his professional career at Wolverhampton Wanderers, scoring twice on his first team debut aged 17. The following season he was the club's leading goalscorer and scored his first international goal with Republic of Ireland. He changed club frequently between 1999 and 2002, breaking transfer fee records, but his brief spells at Inter Milan and Leeds United were unexceptional. He joined Tottenham Hotspur in 2002 and played there for six years.",
norovirus,1,"Jean-François Rossignol is an American scientist, a medicinal chemist and a physician, born in France on September 5, 1943. He was educated at the University of Paris, later specializing in tropical medicine. He then pursed a career in academia and in the pharmaceutical industry discovering and developing new drugs for the treatment of parasitic diseases such as halofantrine in the treatment of multidrug resistant Falciparum malaria or albendazole and nitazoxanide for the treatment of intestinal protozoan and helminthic infections. In 1993, he co-created his own pharmaceutical company, Romark Laboratories, L.C., to develop his own invention nitazoxanide, the first of the thiazolides. At Romark, he is the Chairman of the Board of Directors of the company and its Chief Science Officer. Following the discovery of the antiviral activity of the thiazolides Rossignol went to Stanford University in California to study interferon stimulated gene pathways and chronic viral hepatitis under Prof. Emmet Keeffe and Prof. Jeffery Glenn. It was in the Glenn laboratory that the mechanism of antiviral activity of nitazoxanide against the hepatitis C virus was discovered.",
