Question ID,Answer
175980,george_eliot
183680,isis
165277,naguib_mahfouz
184450,aldous_huxley
107982,four_quartets
5656,john_dryden
5677,rip_van_winkle
7077,manuel_puig
167524,the_fall_of_the_house_of_usher
5733,uncle_tom's_cabin
5754,lolita
188034,saul_bellow
120148,jean_racine
188041,thomas_hardy
181902,j._m._coetzee
188062,jack_london
188069,robert_louis_stevenson
108213,billy_budd
150815,dracula
173768,daniel_defoe
188118,walter_scott
188125,jean_racine
5887,the_master_builder
188167,rainer_maria_rilke
188181,theodore_dreiser
5929,w._h._auden
165697,pearl_s._buck
4585,thomas_pynchon
5978,major_barbara
188048,miguel_de_cervantes
180068,"alfred,_lord_tennyson"
175994,henry_james
176001,jane_eyre
110467,gao_xingjian
145327,falstaff
145334,zora_neale_hurston
141260,demeter
112616,sinclair_lewis
188083,anthony_burgess
8708,cyclic_adenosine_monophosphate
105007,spin_(physics)
104713,entropy
122430,higgs_boson
8806,polymerase_chain_reaction
8295,endoplasmic_reticulum
8309,urea_cycle
8813,thyroid
103061,histone
145558,pancreas
116389,histidine
113057,chlorophyll_a
9485,magnesium
8897,corpus_callosum
188363,stomach
170184,critical_point_(thermodynamics)
10192,spin_(physics)
10493,antiferromagnetism
115780,insulin
10521,photoelectric_effect
8932,electronegativity
112693,capacitor
147637,spin_(physics)
173894,dopamine
184632,piezoelectricity
108094,pancreas
104825,microtubule
108535,grignard_reaction
113813,cyclohexane
8428,glycolysis
8197,anaphase
107429,piezoelectricity
8617,niacin
9373,bose-einstein_condensate
185269,vitamin_k
10689,plasma_(physics)
107471,neutron
168420,niacin
110054,citric_acid_cycle
8176,operon
161777,electronegativity
113659,polarization_(waves)
12292,niobe
12320,thoth
106533,lewis_mumford
120974,thorstein_veblen
12460,krishna
117082,epicureanism
106925,shiva
12726,dionysus
10738,franz_boas
10752,tisha_b'av
111111,alfred_adler
12817,manichaeism
10850,william_graham_sumner
12999,cadmus
105189,max_wertheimer
123634,anomie
105245,pragmatism
11046,david_ricardo
13125,thoth
13167,ares
13195,thoth
109452,das_kapital
11158,orinoco
109543,the_theory_of_the_leisure_class
121856,scylla
11417,seychelles
122073,diomedes
122080,erving_goffman
107821,martin_heidegger
11578,either/or
11753,arthur_schopenhauer
11914,ontological_argument
11942,john_rawls
105077,indra
118482,thoth
12026,gilbert_ryle
12033,the_protestant_ethic_and_the_spirit_of_capitalism
116501,thoth
12054,the_structure_of_scientific_revolutions
12061,wilhelm_wundt
163618,yom_kippur
12075,bruno_bettelheim
103740,the_theory_of_the_leisure_class
108416,krishna
13293,dionysus
106393,milton_friedman
188314,ontological_argument
