Question ID,Sentence Position,Male Pronoun,Female Pronoun,Neuter Pronoun,Plural Pronoun
4202,2,4,0,2,3
4202,3,8,1,2,4
4202,4,9,2,2,4
102509,0,1,0,0,0
102509,1,1,0,1,2
102509,2,1,0,2,4
102509,3,2,0,2,4
102509,4,2,0,2,4
2158,0,0,0,0,0
2158,1,0,0,1,1
2158,2,0,0,2,1
2158,3,0,0,5,2
2158,4,1,1,5,2
2158,5,1,1,6,3
116413,0,1,1,0,0
116413,1,3,1,1,1
116413,2,4,1,1,1
116413,3,7,1,1,1
116413,4,7,1,2,2
116413,5,8,1,3,3
116413,6,9,2,3,3
4211,0,0,0,1,1
4211,1,0,0,2,2
4211,2,0,0,4,3
4211,3,0,0,9,5
4211,4,0,0,9,5
118900,0,1,1,1,0
118900,1,1,1,3,1
118900,2,1,1,4,2
118900,3,2,2,5,2
118900,4,2,2,6,3
149622,0,2,0,1,1
149622,1,4,0,1,1
149622,2,5,1,1,1
106516,0,0,0,0,0
106516,1,0,0,1,1
106516,2,0,0,3,2
106516,3,0,0,4,3
106622,0,0,0,1,1
106622,1,0,0,1,1
106622,2,1,0,2,2
106622,3,1,0,3,2
106622,4,1,0,4,3
4227,0,0,0,2,1
4227,1,0,0,4,1
4227,2,0,0,5,2
4227,3,0,0,5,2
4227,4,0,0,5,2
106634,0,0,0,2,0
106634,1,0,0,3,0
106634,2,0,0,4,0
106634,3,0,0,5,0
106634,4,0,0,6,2
102540,0,1,0,0,0
102540,1,1,0,0,0
102540,2,3,0,0,0
102540,3,4,0,1,1
102540,4,4,0,1,1
102541,0,0,0,0,0
102541,1,0,0,0,0
102541,2,0,0,0,0
102541,3,0,0,1,0
102541,4,0,0,4,2
2193,0,2,0,0,0
2193,1,3,0,0,0
2193,2,6,0,1,1
2193,3,7,1,1,1
102551,0,2,0,0,0
102551,1,5,0,2,2
102551,2,9,0,4,4
102551,3,9,0,4,4
141465,0,1,0,0,0
141465,1,3,0,0,0
141465,2,4,1,0,0
149663,0,1,0,0,0
149663,1,3,0,0,0
149663,2,5,1,0,0
108714,0,0,0,2,0
108714,1,0,0,4,1
108714,2,3,2,5,2
108714,3,3,2,6,3
181823,0,0,0,0,0
181823,1,2,0,0,0
181823,2,3,1,0,0
108721,0,1,0,1,1
108721,1,1,0,3,2
108721,2,1,0,3,2
108721,3,1,0,4,3
2230,0,2,0,0,0
2230,1,4,1,0,0
2230,2,5,1,0,0
2230,3,7,1,1,1
2230,4,9,3,1,1
139450,0,0,0,0,0
139450,1,1,1,0,0
139450,2,1,1,0,0
149691,0,1,0,0,0
149691,1,3,0,0,0
149691,2,3,0,0,0
157887,0,2,0,1,1
157887,1,3,0,1,1
157887,2,4,0,1,1
157887,3,4,0,1,1
4296,0,0,0,0,0
4296,1,3,0,0,0
4296,2,4,0,0,0
4296,3,6,0,0,0
4296,4,8,0,0,0
4296,5,9,1,0,0
102604,0,1,0,0,0
102604,1,1,0,0,0
102604,2,1,0,0,0
102604,3,2,0,1,0
102604,4,2,0,1,0
102604,5,3,0,2,1
2255,0,0,0,1,0
2255,1,1,0,1,0
2255,2,4,0,1,0
2255,3,7,0,1,0
2255,4,9,0,3,1
2255,5,10,1,4,2
2260,0,0,0,0,0
2260,1,3,0,0,0
2260,2,5,0,2,2
2260,3,5,0,2,2
180441,0,0,0,1,1
180441,1,0,0,3,1
180441,2,0,0,4,2
4321,0,1,1,0,0
4321,1,1,1,0,0
4321,2,2,2,1,0
4321,3,2,2,1,0
4321,4,2,2,2,0
4321,5,2,2,3,1
2274,0,0,0,0,0
2274,1,2,0,0,0
2274,2,5,1,0,0
2274,3,6,2,0,0
163195,0,0,0,0,0
163195,1,1,0,2,1
163195,2,3,0,2,1
163195,3,5,1,2,1
102629,0,0,0,0,0
102629,1,0,0,2,0
102629,2,0,0,4,0
102629,3,0,0,5,0
102629,4,0,0,5,0
4330,0,0,0,0,0
4330,1,0,0,2,0
4330,2,0,0,4,1
4330,3,0,0,5,1
4330,4,0,0,8,1
4330,5,0,0,10,3
180459,0,0,0,0,0
180459,1,1,0,1,1
180459,2,2,1,1,1
2292,0,1,0,0,0
2292,1,2,0,0,0
2292,2,3,0,0,0
2292,3,5,2,0,0
184750,0,0,0,0,0
184750,1,0,0,1,1
184750,2,0,0,1,1
184750,3,0,0,2,2
4345,0,0,0,1,0
4345,1,0,0,1,0
4345,2,2,1,1,0
4345,3,2,1,2,0
4345,4,2,1,2,0
123306,0,1,0,0,0
123306,1,3,0,0,0
123306,2,4,0,0,0
123306,3,8,0,0,0
123306,4,9,0,0,0
123306,5,9,0,0,0
2309,0,0,0,2,1
2309,1,0,0,3,2
2309,2,0,0,5,2
2309,3,0,0,6,3
2309,4,0,0,7,4
2311,0,0,0,0,0
2311,1,0,0,1,1
2311,2,2,0,1,1
2311,3,2,0,2,1
2311,4,2,0,3,2
4360,0,0,0,0,0
4360,1,1,1,0,0
4360,2,1,1,1,0
4360,3,1,1,2,0
4360,4,1,1,4,0
4360,5,1,1,5,1
2313,0,0,0,0,0
2313,1,0,0,2,2
2313,2,0,0,3,3
2313,3,1,1,3,3
2313,4,1,1,3,3
162059,0,0,0,1,1
162059,1,0,0,2,1
162059,2,2,1,2,1
102672,0,2,0,0,0
102672,1,4,0,0,1
102672,2,5,0,0,1
102672,3,6,1,0,1
3249,0,0,0,2,1
3249,1,0,0,3,1
3249,2,0,0,5,1
3249,3,0,0,5,1
3249,4,0,0,6,1
3249,5,0,0,7,2
168216,0,1,0,0,0
168216,1,2,1,0,0
4387,0,0,0,1,0
4387,1,0,0,2,0
4387,2,1,0,3,0
4387,3,2,1,3,0
2340,0,0,0,1,0
2340,1,1,1,3,0
2340,2,2,1,4,0
2340,3,2,1,5,1
2350,0,0,0,0,0
2350,1,0,0,1,0
2350,2,0,0,2,0
2350,3,0,0,4,1
4402,0,0,0,0,0
4402,1,0,0,0,0
4402,2,0,0,1,0
4402,3,0,0,2,0
4402,4,0,0,3,0
4402,5,0,0,3,0
4402,6,0,0,4,0
4402,7,0,0,5,1
162102,0,0,0,1,0
162102,1,1,0,1,0
162102,2,1,0,2,1
4408,0,2,0,0,0
4408,1,2,0,0,0
4408,2,2,0,1,0
4408,3,2,0,2,0
4408,4,2,0,3,1
4408,5,2,0,4,1
4408,6,2,0,5,2
106549,0,6,1,0,0
106549,1,9,1,0,0
106549,2,13,1,0,0
106549,3,13,1,1,1
117057,0,0,0,1,1
117057,1,0,0,2,2
117057,2,0,0,4,3
117057,3,0,0,5,3
117057,4,0,0,6,4
182594,0,0,0,1,1
182594,1,1,1,1,1
182594,2,1,1,2,2
168261,0,1,0,1,0
168261,1,3,0,2,1
168261,2,3,0,2,1
119863,0,0,0,2,1
119863,1,0,0,2,1
119863,2,0,0,3,2
119863,3,1,0,4,2
119863,4,1,0,4,2
108876,0,0,0,0,0
108876,1,1,1,1,0
108876,2,1,1,3,0
108876,3,1,1,4,0
108876,4,1,1,5,0
108876,5,1,1,7,1
170381,0,2,0,1,1
170381,1,3,0,1,1
170381,2,4,1,2,2
108882,0,0,0,1,0
108882,1,1,1,3,1
108882,2,1,1,7,2
108882,3,1,1,8,2
108882,4,1,1,9,2
102743,0,0,0,0,0
102743,1,1,0,0,0
102743,2,1,0,0,0
102743,3,1,0,1,1
182619,0,0,0,0,0
182619,1,0,0,1,0
182619,2,0,0,3,1
2398,0,0,0,0,1
2398,1,0,0,0,2
2398,2,0,0,2,4
2398,3,0,0,2,4
141668,0,1,1,0,1
141668,1,2,2,0,1
141668,2,2,2,0,1
166273,0,2,0,0,0
166273,1,3,0,0,0
166273,2,4,1,0,0
2451,0,1,0,0,0
2451,1,3,1,1,1
2451,2,3,1,1,1
2451,3,3,1,2,2
2451,4,5,1,3,3
2451,5,7,1,3,3
188799,0,0,0,0,0
188799,1,1,0,1,1
188799,2,3,0,1,1
188799,3,3,0,1,1
176513,0,1,0,0,0
176513,1,4,0,0,0
176513,2,4,0,0,0
188802,0,1,0,0,0
188802,1,3,0,1,1
188802,2,4,0,1,1
188802,3,4,0,1,1
188803,0,0,0,1,1
188803,1,0,0,2,2
188803,2,0,0,2,2
188806,0,1,1,0,0
188806,1,4,2,1,2
188806,2,5,2,1,2
188806,3,5,2,1,2
188806,4,6,3,1,2
188808,0,0,0,0,0
188808,1,0,0,1,1
188808,2,0,0,3,1
188808,3,1,1,3,1
141709,0,2,0,0,0
141709,1,3,0,0,0
141709,2,6,0,2,3
141709,3,8,1,2,3
166291,0,3,0,0,0
166291,1,5,0,1,1
166291,2,6,0,1,1
166291,3,6,0,1,1
188821,0,0,0,0,0
188821,1,0,0,3,1
188821,2,0,0,3,1
170390,0,1,0,0,0
170390,1,2,0,0,0
170390,2,2,0,0,0
170390,3,2,0,0,0
188824,0,1,0,1,1
188824,1,3,0,1,1
188824,2,4,1,1,1
4037,0,1,0,2,2
4037,1,1,0,3,3
4037,2,1,0,3,3
4037,3,1,0,4,4
188827,0,0,0,0,0
188827,1,1,0,0,0
188827,2,1,0,0,0
2458,0,1,0,1,1
2458,1,5,0,3,2
2458,2,9,0,5,3
2458,3,10,1,5,3
188830,0,0,0,0,0
188830,1,0,0,1,1
188830,2,0,0,1,2
188830,3,0,0,2,3
2466,0,1,0,0,0
2466,1,2,0,0,0
2466,2,4,0,0,0
2466,3,7,0,0,0
2466,4,11,2,0,0
170404,0,0,0,2,0
170404,1,0,0,3,0
170404,2,0,0,3,0
170404,3,0,0,3,0
188838,0,0,0,1,1
188838,1,0,0,1,1
188838,2,1,1,1,1
188838,3,3,2,1,1
179953,0,0,0,1,1
179953,1,0,0,1,1
179953,2,0,0,1,1
172458,0,0,0,0,1
172458,1,0,0,6,5
172458,2,2,2,6,5
188843,0,2,1,0,0
188843,1,3,1,0,0
188843,2,3,1,1,1
188843,3,3,1,1,1
2476,0,0,0,0,0
2476,1,1,1,0,3
2476,2,1,1,0,4
2476,3,2,2,0,5
188849,0,1,2,0,0
188849,1,3,2,0,0
188849,2,3,2,0,0
188850,0,1,1,0,0
188850,1,2,2,3,1
188850,2,2,2,3,1
2487,0,2,0,0,0
2487,1,5,0,0,0
2487,2,7,1,0,0
188858,0,1,0,0,0
188858,1,1,0,1,1
188858,2,1,0,1,1
166331,0,0,0,2,0
166331,1,0,0,4,0
166331,2,0,0,4,0
117182,0,1,0,0,0
117182,1,2,0,1,1
117182,2,2,0,1,1
117182,3,3,0,2,2
117182,4,3,0,2,2
102847,0,0,0,1,0
102847,1,1,0,2,0
102847,2,2,0,4,1
102847,3,2,0,4,1
172481,0,0,0,0,0
172481,1,1,0,0,0
172481,2,3,0,0,0
172481,3,4,1,0,0
164296,0,0,0,1,1
164296,1,1,0,1,1
164296,2,2,1,1,1
165623,0,0,0,0,0
165623,1,1,0,0,0
165623,2,3,0,1,1
165623,3,4,1,1,1
164301,0,0,0,0,0
164301,1,3,0,2,2
164301,2,4,0,2,2
164301,3,4,0,2,2
143823,0,0,0,0,0
143823,1,2,0,0,0
143823,2,3,1,0,0
117200,0,0,0,0,0
117200,1,1,0,0,0
117200,2,2,0,0,0
117200,3,3,1,0,0
143825,0,0,0,5,0
143825,1,1,1,5,0
172498,0,1,0,0,0
172498,1,1,0,0,0
172498,2,1,0,0,0
172500,0,2,0,1,1
172500,1,4,0,1,1
172500,2,8,1,1,1
172500,3,8,1,1,1
172502,0,0,0,0,0
172502,1,2,0,0,0
172502,2,3,0,0,0
172502,3,3,0,0,0
143832,0,1,1,0,0
143832,1,1,1,1,0
143832,2,1,1,2,1
164317,0,0,0,0,0
164317,1,3,0,2,2
164317,2,4,1,2,2
102882,0,1,0,1,1
102882,1,7,0,1,1
102882,2,9,0,1,1
102882,3,10,1,1,1
119547,0,0,0,1,1
119547,1,0,0,1,1
119547,2,0,0,3,2
119547,3,1,0,3,2
119547,4,1,0,5,4
2535,0,2,0,0,0
2535,1,8,1,0,0
2535,2,11,1,0,0
2535,3,12,2,0,0
179964,0,0,0,1,0
179964,1,0,0,2,0
179964,2,0,0,2,0
110333,0,0,0,0,0
110333,1,0,0,1,1
110333,2,0,0,2,1
110333,3,0,0,2,1
110333,4,0,0,3,2
143856,0,0,0,3,0
143856,1,0,0,3,0
154100,0,1,0,0,0
154100,1,2,0,0,0
154100,2,4,1,0,0
164341,0,2,0,0,0
164341,1,4,1,1,1
164341,2,4,1,1,1
2550,0,2,1,0,0
2550,1,7,2,0,0
2550,2,9,2,0,2
2550,3,11,2,0,2
2550,4,11,2,0,2
188842,0,1,0,0,0
188842,1,3,0,0,0
188842,2,5,1,0,0
164350,0,1,0,0,0
164350,1,3,0,1,1
164350,2,3,0,2,2
160512,0,1,0,1,1
160512,1,2,0,2,2
160512,2,3,0,3,3
160512,3,3,0,3,3
143874,0,3,0,0,0
143874,1,4,0,0,0
143874,2,6,1,0,0
147975,0,0,0,1,0
147975,1,0,0,2,0
147975,2,0,0,3,1
143887,0,2,0,0,0
143887,1,4,0,0,0
143887,2,5,0,0,0
143887,3,5,0,0,0
143790,0,2,0,0,0
143790,1,4,1,1,1
143790,2,5,1,1,1
143790,3,5,1,1,1
3973,0,2,0,0,0
3973,1,3,0,0,0
3973,2,4,0,0,0
3973,3,5,1,0,0
164271,0,0,0,1,1
164271,1,2,1,1,1
166322,0,0,0,0,0
166322,1,0,0,2,1
166322,2,0,0,4,3
154164,0,4,1,0,0
154164,1,5,1,1,1
154164,2,5,1,1,1
145975,0,0,0,3,1
145975,1,0,0,4,2
109113,0,1,0,1,1
109113,1,2,0,1,1
109113,2,3,0,1,1
109113,3,3,0,1,1
2622,0,0,0,2,2
2622,1,0,0,3,3
2622,2,1,1,5,4
2622,3,3,1,5,4
2622,4,4,2,5,4
163253,0,2,0,0,1
163253,1,4,0,1,2
163253,2,4,0,1,2
105024,0,1,1,0,0
105024,1,1,1,0,2
105024,2,1,1,0,2
105024,3,1,1,2,3
2630,0,0,0,0,0
2630,1,2,0,1,1
2630,2,3,0,1,1
2630,3,7,0,1,1
2630,4,7,0,1,1
102996,0,0,0,2,1
102996,1,0,0,4,1
102996,2,0,0,7,1
102996,3,0,0,10,3
156252,0,2,0,0,0
156252,1,4,0,0,0
156252,2,4,0,0,0
166330,0,0,0,0,0
166330,1,0,0,0,0
166330,2,0,0,1,0
166330,3,0,0,1,0
146014,0,1,0,0,0
146014,1,2,0,0,0
146014,2,4,1,0,0
146021,0,3,0,0,0
146021,1,5,0,0,0
146021,2,5,0,0,0
170598,0,1,0,0,0
170598,1,2,0,1,0
170598,2,4,0,1,0
170598,3,4,0,1,0
148073,0,0,0,2,0
148073,1,0,0,3,0
148073,2,0,0,4,0
148073,3,0,0,4,0
146026,0,4,0,0,0
146026,1,7,0,0,0
146026,2,8,0,0,0
146026,3,8,0,0,0
100972,0,3,0,0,0
100972,1,7,0,0,0
100972,2,9,0,3,3
100972,3,10,0,4,4
100972,4,11,1,5,5
115310,0,1,1,0,0
115310,1,1,1,1,0
115310,2,2,2,1,0
115310,3,2,2,2,0
115310,4,3,3,4,0
115310,5,3,3,5,1
170608,0,3,0,0,0
170608,1,6,0,3,2
170608,2,8,1,3,2
2673,0,2,1,0,0
2673,1,5,1,0,0
2673,2,8,1,1,1
2673,3,11,1,1,1
2673,4,11,1,1,1
2673,5,13,2,1,1
110903,0,0,0,0,0
110903,1,0,0,0,0
110903,2,0,0,1,1
110903,3,1,0,1,1
110903,4,3,0,3,3
110903,5,5,1,3,3
170619,0,0,0,0,0
170619,1,0,0,2,0
170619,2,0,0,2,0
170619,3,0,0,3,1
146050,0,3,0,0,0
146050,1,4,0,0,0
146050,2,5,1,0,0
2692,0,1,1,0,0
2692,1,4,2,0,0
2692,2,5,3,0,0
2692,3,5,3,0,0
2692,4,6,3,0,0
2692,5,7,4,0,0
2692,6,7,4,0,0
2497,0,0,0,0,0
2497,1,3,2,0,2
2497,2,3,2,0,2
2497,3,3,2,0,3
2497,4,4,3,0,3
146056,0,0,0,1,1
146056,1,1,0,2,2
146056,2,1,0,2,2
146057,0,2,0,0,0
146057,1,3,0,0,0
146057,2,4,0,0,0
2698,0,3,0,0,0
2698,1,5,0,1,1
2698,2,10,0,4,4
2698,3,11,0,4,4
162445,0,0,0,1,0
162445,1,0,0,2,0
162445,2,0,0,3,0
179309,0,0,0,0,0
179309,1,0,0,0,0
179309,2,0,0,0,0
179309,3,0,0,0,0
179309,4,0,0,0,0
105108,0,2,1,0,0
105108,1,3,2,1,1
105108,2,3,2,2,1
105108,3,3,2,4,2
101023,0,2,0,0,0
101023,1,3,0,0,0
101023,2,5,0,0,0
101023,3,8,0,1,1
101023,4,10,2,1,1
176802,0,1,0,3,2
176802,1,3,0,4,3
176802,2,4,1,5,4
2725,0,0,0,0,0
2725,1,2,0,1,1
2725,2,3,0,1,1
2725,3,9,0,5,4
2725,4,10,1,5,4
187046,0,2,0,0,0
187046,1,3,0,0,0
187046,2,4,0,0,0
187046,3,4,0,0,0
187048,0,2,1,0,0
187048,1,3,1,0,0
187048,2,4,2,0,0
156329,0,1,2,0,0
156329,1,2,3,0,0
156329,2,2,4,0,0
156329,3,2,4,0,0
101034,0,1,0,0,0
101034,1,2,0,0,0
101034,2,3,0,0,0
101034,3,6,1,0,0
101034,4,7,1,1,0
101034,5,9,3,1,0
2731,0,2,1,0,0
2731,1,3,2,0,0
2731,2,6,2,0,0
2731,3,9,3,0,0
105134,0,0,0,0,0
105134,1,2,0,2,2
105134,2,2,0,2,2
105134,3,3,1,2,2
1821,0,3,0,0,0
1821,1,6,1,0,0
1821,2,9,1,0,0
1821,3,10,2,0,0
162481,0,0,0,0,0
162481,1,0,0,1,1
162481,2,0,0,2,2
162482,0,0,0,2,1
162482,1,0,0,2,1
162482,2,0,0,3,2
117427,0,0,0,2,0
117427,1,0,0,2,0
117427,2,0,0,4,0
117427,3,0,0,5,0
117427,4,0,0,6,0
146105,0,0,0,1,1
146105,1,0,0,1,1
146105,2,0,0,1,1
187066,0,2,0,0,0
187066,1,3,0,0,0
187066,2,3,0,0,0
105151,0,0,0,0,1
105151,1,0,0,0,3
105151,2,0,0,0,4
105151,3,0,0,0,5
105151,4,0,0,0,5
2507,0,5,1,1,0
2507,1,10,1,2,1
2507,2,11,1,2,1
2507,3,12,2,2,1
179992,0,0,0,0,0
179992,1,0,0,1,0
179992,2,0,0,2,0
179992,3,0,0,3,1
160464,0,2,0,0,0
160464,1,3,0,0,0
160464,2,4,1,0,0
160467,0,1,0,1,1
160467,1,4,0,1,1
160467,2,5,1,1,1
131798,0,0,0,5,0
131798,1,0,0,6,1
105186,0,0,0,0,0
105186,1,0,0,0,0
105186,2,0,0,1,0
105186,3,0,0,2,1
187113,0,1,0,1,1
187113,1,2,1,1,1
187113,2,2,1,1,1
122504,0,0,0,0,0
122504,1,1,0,0,0
122504,2,3,0,0,0
122504,3,4,0,0,0
122504,4,5,0,0,0
122504,5,6,1,0,0
2795,0,0,0,1,0
2795,1,0,0,1,0
2795,2,0,0,2,0
2795,3,0,0,4,0
2795,4,0,0,4,0
109300,0,0,0,1,0
109300,1,0,0,1,0
109300,2,0,0,2,1
109300,3,1,0,4,1
109300,4,1,0,4,1
2808,0,0,0,1,1
2808,1,0,0,1,1
2808,2,0,0,2,2
102868,0,0,0,0,0
102868,1,0,0,1,0
102868,2,0,0,2,1
102868,3,1,1,2,1
102868,4,2,2,3,1
102868,5,2,2,4,1
160507,0,5,0,1,1
160507,1,6,2,1,1
160507,2,6,2,1,1
187136,0,0,0,0,0
187136,1,0,1,1,1
187136,2,0,2,1,1
187136,3,0,2,1,1
187143,0,0,0,0,0
187143,1,0,0,2,1
187143,2,0,0,2,1
187143,3,0,0,2,1
185106,0,1,0,0,0
185106,1,3,0,1,1
185106,2,3,0,1,1
185112,0,1,1,0,0
185112,1,1,1,1,1
185112,2,1,1,2,1
185112,3,1,1,3,2
115482,0,0,0,0,0
115482,1,0,0,0,0
115482,2,0,0,2,0
115482,3,0,0,2,0
115482,4,0,0,4,1
111749,0,0,0,2,1
111749,1,0,0,2,1
111749,2,2,1,2,1
111749,3,3,1,2,1
111749,4,4,1,2,1
111749,5,4,1,2,1
102661,0,0,0,1,2
102661,1,0,0,6,5
102661,2,0,0,8,6
102661,3,0,0,9,7
2854,0,0,0,1,0
2854,1,0,0,1,0
2854,2,0,0,3,1
2854,3,0,0,4,2
183473,0,0,0,1,0
183473,1,1,1,2,0
183473,2,1,1,2,0
183473,3,1,1,3,1
111402,0,2,0,0,1
111402,1,2,0,0,1
111402,2,2,0,2,3
111402,3,3,1,4,4
111402,4,3,1,4,4
187869,0,0,0,1,0
187869,1,0,0,1,0
187869,2,1,1,1,0
160560,0,0,0,1,0
160560,1,0,0,2,1
168754,0,0,0,0,0
168754,1,2,0,0,0
168754,2,3,0,0,0
168754,3,4,1,0,0
109367,0,0,0,1,0
109367,1,1,1,1,0
109367,2,1,1,2,0
109367,3,1,1,3,1
2872,0,2,1,1,0
2872,1,2,1,3,1
2872,2,3,1,3,1
2872,3,3,1,3,1
2872,4,3,1,5,2
133951,0,3,0,1,0
133951,1,3,0,1,0
2880,0,0,0,0,0
2880,1,0,0,1,1
2880,2,0,0,3,3
2880,3,0,0,3,3
2880,4,0,0,4,4
160577,0,0,0,0,0
160577,1,0,0,0,0
160577,2,0,0,0,0
160577,3,0,0,1,1
152389,0,1,0,0,0
152389,1,3,0,0,0
152389,2,4,0,0,2
152389,3,6,1,0,2
152391,0,0,0,0,0
152391,1,0,0,0,0
152391,2,0,0,0,0
152391,3,0,0,0,0
152391,4,0,0,0,0
152391,5,1,1,0,0
3915,0,0,0,0,0
3915,1,1,1,0,0
3915,2,1,1,1,0
3915,3,1,1,3,1
152400,0,0,0,2,0
152400,1,0,0,4,1
152400,2,1,1,4,1
107347,0,0,0,1,1
107347,1,0,0,2,1
107347,2,0,0,3,1
107347,3,0,0,7,3
107347,4,0,0,7,3
170836,0,0,0,2,1
170836,1,0,0,3,2
170836,2,1,1,4,3
2901,0,0,0,5,1
2901,1,0,0,8,1
2901,2,0,0,9,2
146649,0,1,0,0,0
146649,1,2,0,0,0
146649,2,3,0,0,0
2907,0,0,0,1,0
2907,1,0,0,2,0
2907,2,0,0,3,1
152420,0,2,1,0,0
152420,1,3,1,0,0
2917,0,2,1,0,0
2917,1,2,1,0,0
2917,2,3,2,1,0
2917,3,3,2,1,0
2917,4,3,2,2,1
2920,0,0,0,1,0
2920,1,0,0,2,0
2920,2,2,1,2,0
2920,3,3,2,2,3
2920,4,3,2,2,3
142186,0,1,0,0,0
142186,1,3,0,0,0
142186,2,6,0,0,0
142186,3,6,0,0,0
142187,0,2,0,0,0
142187,1,4,0,0,0
142187,2,5,1,0,0
168816,0,0,0,0,0
168816,1,1,0,0,0
168816,2,1,0,1,1
170866,0,0,0,1,0
170866,1,1,1,1,0
170866,2,1,2,1,0
152435,0,0,0,1,1
152435,1,0,0,2,1
152435,2,0,0,2,1
168820,0,0,0,1,1
168820,1,0,0,2,1
168820,2,0,0,5,2
168820,3,0,0,5,2
107384,0,0,0,0,0
107384,1,1,0,0,0
107384,2,5,1,0,0
2938,0,8,1,2,1
2938,1,10,2,2,1
157162,0,0,0,3,0
157162,1,0,0,6,0
157162,2,0,0,6,0
117632,0,2,1,1,1
117632,1,2,1,1,1
117632,2,2,1,2,1
117632,3,2,1,3,1
117632,4,2,1,4,1
117632,5,2,1,4,1
157849,0,1,0,0,0
157849,1,3,0,1,1
157849,2,3,0,1,1
142238,0,0,0,1,0
142238,1,0,0,1,1
142238,2,0,0,2,2
145221,0,0,0,1,0
145221,1,0,0,2,0
145221,2,0,0,3,1
105376,0,0,0,1,1
105376,1,2,1,2,2
105376,2,3,2,2,2
105376,3,3,2,3,3
105376,4,3,2,3,3
162728,0,1,0,0,0
162728,1,5,0,0,0
162728,2,7,1,1,1
3509,0,0,0,1,1
3509,1,0,0,2,1
3509,2,0,0,5,3
3509,3,0,0,6,4
168775,0,1,0,0,0
168775,1,3,0,0,0
168775,2,3,0,0,0
2077,0,0,0,0,0
2077,1,0,0,5,2
2077,2,1,1,9,3
2077,3,1,1,10,4
162741,0,0,0,0,0
162741,1,0,0,1,1
162741,2,0,2,1,1
162741,3,0,2,1,1
104072,0,2,0,5,3
104072,1,2,0,6,4
104072,2,2,0,6,4
104072,3,2,0,6,4
104072,4,2,0,6,4
104072,5,2,0,9,5
104072,6,2,0,9,5
